Name,Current price,Change(%),Open,High,Low,Volume
FIRST COMMUNITY BANKSHARES,46.61,10.68,46.53,46.92,46.15,22014
INMED PHARMACEUTICALS INC.,4.53,0.67,4.51,4.9,4.36,21848
PERFORMANCE SHIPPING INC.,1.78,12.2,1.81,1.84,1.78,21769
INTEVAC INC.,2.67,11.11,2.68,2.68,2.62,21716
AMERICAN REBEL HLD.,2.16,0.47,2.17,2.25,2.15,21711
CEPTON INC.,3.13,0.32,3.13,3.14,3.12,21705
LCNB CORP.,17.27,12.04,17.5,17.75,17.21,21640
AURORA MOBILE LTD.,7.29,10.27,7.02,7.53,6.95,21575
HBT FINANCIAL INC.,24.12,12.58,24.76,24.76,24.12,21470
PORTAGE BIOTECH INC.,4.87,3.18,4.73,4.94,4.59,21462
B. RILEY FINANCIAL,23.65,0.0,23.66,23.66,23.5,21283
VIA RENEWABLES,22.05,10.32,22.12,22.24,22.01,21231
CF BANKSHARES INC.,27.8,10.71,27.87,28.0,27.5,21176
NEW YORK MORTGAGE TRUST,24.91,10.08,25.0,25.05,24.75,21144
B. RILEY FINANCIAL,7.55,2.03,7.35,7.7,7.23,21092
B. RILEY FINANCIAL,12.64,13.07,13.03,13.03,12.51,21037
FUTURETECH II ACQUISITION,11.1,0.36,11.07,11.12,11.01,21023
BENITEC BIOPHARMA INC.,9.85,12.96,10.01,10.23,9.76,21006
AGNC INVESTMENT,25.72,10.58,25.81,25.86,25.65,20987
PREFORMED LINE PRODUCTS CO.,137.65,14.12,142.0,142.25,135.5,20968
ONTRAK INC.,1.8,12.17,1.86,1.86,1.8,20949
SPRING VALLEY ACQUISITION,11.21,10.09,11.2,11.22,11.2,20880
USCB FINANCIAL HLD.,20.37,11.97,20.78,20.78,20.3,20872
WORK MEDICAL TECHNOLOGY GROUP LTD,5.6,12.1,5.8,6.05,5.6,20806
DERMATA THERAPEUTICS INC.,1.1,14.35,1.15,1.15,1.09,20799
XCHANGE TEC.INC ADS,1.46,12.01,1.5,1.51,1.46,20723
ATLANTICUS HOLDINGS,24.95,0.16,24.95,25.0,24.91,20706
KAROOOOO,41.11,10.22,41.01,41.34,40.05,20688
XENETIC BIOSCIENCES INC.,4.11,1.73,3.95,4.25,3.93,20635
NEW YORK MORTGAGE TRUST,19.8,0.0,19.79,20.29,19.76,20559
BENSON HILL INC.,3.61,13.22,3.73,3.83,3.58,20509
TILE SHOP HOLDINGS INC.,6.51,11.06,6.47,6.57,6.47,20497
17 EDUCATION & TECHNOLOGY GROUP,1.96,3.16,1.9,2.15,1.87,20447
YOSHIHARU GLOBAL CO.,3.29,10.3,3.36,3.46,3.2,20439
SK GROWTH OPPORTUNITIES,11.51,10.09,11.52,11.52,11.51,20387
NATURAL HEALTH TRENDS,5.49,10.54,5.52,5.67,5.4,20313
NSTS BANCORP INC.,11.28,1.53,11.08,11.31,11.08,20297
CITIZENS COMMUNITY BANCORP,16.37,10.18,16.49,16.55,16.28,20206
AYTU BIOPHARMA INC.,1.6,1.91,1.57,1.66,1.55,20156
IONEER LTD ADS,5.46,10.73,5.51,5.54,5.33,20152
ECD AUTOMOTIVE DESIGN INC.,0.98,3.15,0.9501,1.02,0.9501,19937
FIRST WESTERN FINANCIAL INC.,21.87,0.28,21.93,22.13,21.68,19882
DIVERSIFIED HEALTHCARE TRUST  5.625% SE,14.64,10.95,14.75,14.75,14.6,19825
KIDPIK CORP.,2.23,18.23,2.33,2.37,2.19,19819
PAVMED INC.,0.9,1.11,0.9,0.9299,0.9,19758
KOLIBRI GLOBAL ENERGY INC.,4.2,2.44,4.13,4.27,4.12,19610
AKSO HEALTH GROUP ADS,0.85,11.67,0.8209,0.8956,0.801,19589
BCB BANCORP INC. (NJ),13.41,11.03,13.42,13.51,13.37,19572
ABLE VIEW GLOBAL INC.,0.88,0.0,0.845,0.9001,0.8226,19553
BIODEXA PHARMACEUTICALS PLC ADS,4.8,13.61,4.69,4.96,4.59,19527
SOCIETY PASS INC.,0.95,14.03,1.0,1.0,0.95,19467
ENSTAR GROUP LTD.,19.82,10.65,19.95,20.04,19.8,19336
UNION BANKSHARES INC.,33.66,7.78,31.95,34.24,31.25,19223
IZEA WORLDWIDE INC.,2.75,11.08,2.76,2.8,2.66,19190
SCIENJOY HOLDING,0.92,13.66,0.92,0.97,0.9111,19147
TRAWS PHARMA INC.,4.09,18.3,4.4,4.47,4.08,19126
NEUROBO PHARMACEUTICALS INC.,2.35,12.89,2.37,2.44,2.3,19117
EARLYWORKS CO.,2.79,0.36,2.67,2.91,2.67,19106
CHEMUNG FINANCIAL CORP,52.03,10.82,52.5,52.54,52.03,19065
ZJK INDUSTRIAL CO.,6.06,16.19,6.67,6.67,6.0,19000
FITLIFE BRANDS INC.,34.1,10.06,34.12,34.94,32.97,18989
LESAKA TECHNOLOGIES INC.,5.25,0.0,5.25,5.44,5.25,18967
MINERVA NEUROSCIENCES INC,2.17,13.98,2.35,2.43,2.14,18949
XWELL INC.,1.45,1.4,1.41,1.51,1.41,18948
FARMERS & MERCHANTS BANCORP,33.1,10.3,32.98,33.32,32.11,18824
IDEAL POWER INC.,6.16,15.67,6.54,6.54,6.09,18791
INTELLIGENT LIVING APPLICATION GROUP,1.03,0.98,1.02,1.04,1.0,18676
SWVL HOLDINGS CORP,6.2,13.28,6.36,6.57,5.85,18672
BIO-PATH HOLDINGS INC.,0.8045,10.01,0.76,0.8045,0.76,18599
ZIONS BANCORP.,25.5,0.08,25.52,25.52,25.5,18545
NI HOLDINGS INC.,16.03,10.87,16.15,16.28,15.81,18525
WORLD ACCEPTANCE,118.09,12.22,119.53,119.53,118.09,18516
GREAT ELM CAPITAL,10.2,0.59,10.1,10.25,10.1,18396
CVD EQUIPMENT CORP.,3.14,2.61,3.12,3.15,3.03,18370
HARTE HANKS INC.,5.73,13.05,5.86,5.96,5.69,18361
PAMT CORP,18.71,12.04,19.31,19.98,18.43,18334
INTERCURE,1.44,1.41,1.35,1.44,1.34,18314
KATAPULT HOLDINGS INC.,6.63,15.01,6.58,7.03,6.46,18310
JERASH HOLDINGS (US) INC.,3.37,1.81,3.38,3.38,3.24,18258
FVCBANKCORP INC.,13.64,11.87,13.98,14.15,13.6,18195
INTEGRATED MEDIA TECHNOLOGY,1.18,1.72,1.22,1.24,1.16,18121
LULU S FASHION LOUNGE HLD.,1.23,12.38,1.27,1.27,1.21,18117
ENERGY FOCUS INC.,1.39,8.59,1.35,1.47,1.32,18088
COMSTOCK HOLDING COMPANIES,8.53,17.98,9.07,9.07,8.53,18087
FINWISE BANCORP,18.8,4.16,18.25,18.91,18.25,18036
SILVERCREST ASSET MANAGEMENT GROUP,18.26,1.11,18.0,18.36,18.0,18028
SB FINANCIAL GROUP INC.,21.34,2.06,20.57,21.78,20.49,18024
PARK-OHIO HOLDINGS,32.67,11.39,32.82,33.19,32.16,17927
OBLONG INC.,3.53,1.44,3.43,3.56,3.36,17909
IM CANNABIS CORP.,2.44,15.79,2.53,2.6,2.35,17821
OFFICE PROPERTIES,12.8,2.81,12.12,13.0,12.12,17817
BANKFINANCIAL CORP.,12.86,10.31,12.74,12.9,12.69,17812
UNITED SECURITY BANCSHARES,9.8,1.03,9.6,9.86,9.6,17805
NVE CORP.,76.84,15.89,80.89,80.89,76.26,17688
RAMACO RESOURCES INC.,10.15,12.03,10.43,10.5,10.1,17620
BIOHARVEST SCIENCES INC.,6.18,11.9,6.09,6.45,5.95,17619
ADDENTAX GROUP CORP.,0.5425,13.13,0.53,0.56,0.525,17489
UTAH MEDICAL PRODUCTS INC.,65.17,11.21,65.15,65.4,64.68,17482
UCOMMUNE INTERNATIONAL LTD,1.21,10.82,1.2,1.26,1.2,17451
ELBIT SYSTEMS,253.0,10.04,255.02,255.02,253.0,17429
ENTERPRISE BANCORP INC,36.7,11.92,37.21,37.5,36.7,17406
DOGNESS (INTERNATIONAL),44.74,10.84,45.12,46.66,44.5,17403
FTAI AVIATION,25.37,0.0,25.36,25.37,25.36,17284
SOUTHERN FIRST BANCSHARES INC.,44.1,11.69,44.65,44.75,43.85,17156
GLADSTONE COMMERCIAL,21.5,11.1,21.94,21.96,21.28,17139
GOLDEN STAR ACQUISITION,11.2,0.0,11.17,11.2,11.17,17129
CHOICEONE FINANCIAL SERVICES,36.83,0.33,36.53,37.12,36.25,17125
TAT TECHNOLOGIES,22.01,11.52,21.89,22.53,21.75,17019
BANK FIRST CORP.,106.28,10.71,106.26,107.87,105.43,17017
GREAT SOUTHERN BANCORP INC.,63.23,11.26,63.43,63.91,62.94,16917
NETSOL TECHNOLOGIES INC.,2.66,10.37,2.69,2.7,2.61,16904
FIRST INTERNET BANCORP,41.58,11.42,41.79,41.97,41.11,16889
ORANGE COUNTY BANCORP INC.,58.46,11.55,59.0,60.4,57.61,16880
FIRST BANCORP INC (ME),28.8,11.91,29.35,29.35,28.67,16705
TNF PHARMACEUTICALS INC.,1.35,13.57,1.41,1.49,1.33,16705
WHEELER REAL ESTATE INVESTMENT TRUST,25.13,1.17,24.95,25.62,24.22,16561
AIR T INC.,20.97,3.76,20.25,21.8,20.25,16548
NAYAX,29.11,10.51,29.8,29.94,29.11,16537
HIREQUEST INC.,15.64,0.77,15.69,15.75,15.44,16517
ALSET INC.,1.08,14.42,1.15,1.16,1.08,16506
AMERISERV FINANCIAL INC.,2.88,0.7,2.9,2.94,2.81,16423
BIG TREE CLOUD HOLDINGS,2.46,6.49,2.34,2.46,2.24,16396
HUADI INTERNATIONAL GROUP CO.,1.96,12.0,1.99,2.04,1.95,16370
THE OLB GROUP INC.,1.72,17.03,1.81,1.94,1.71,16321
U.S. GLOBAL INVESTORS INC.,2.45,11.61,2.51,2.55,2.44,16289
ESHALLGO INC.,3.95,0.77,3.78,4.06,3.75,16251
ZW DATA ACTION TECHNOLOGIES,1.69,10.59,1.7,1.76,1.68,16235
PRIMECH HOLDINGS,0.766,4.93,0.661,0.768,0.6592,16160
TOMI ENVIRONMENTAL SOLUTIONS,0.748,1.08,0.74,0.7505,0.7276,16143
BURTECH ACQUISITION,11.44,0.0,11.4,11.44,11.4,16118
EVOKE PHARMA INC.,4.39,0.92,4.28,4.42,4.26,16052
THE CARLYLE GROUP,19.14,10.57,19.28,19.3,19.0,16029
ALAUNOS THERAPEUTICS INC.,2.33,11.27,2.41,2.44,2.3,16012
EDESA BIOTECH INC.,2.21,2.79,2.2,2.28,2.16,15999
DLH HOLDINGS CORP.,8.55,12.06,8.75,8.75,8.54,15898
NAVIENT CORP.,19.91,10.35,20.08,20.08,19.86,15884
HOME BANCORP INC.,51.12,10.23,50.75,51.62,50.56,15880
SUMMIT STATE BANK,7.49,6.09,7.16,7.55,7.16,15830
HELPORT AI LTD.,5.98,15.08,5.89,6.22,5.85,15793
FOUNDER GROUP LTD.,2.23,18.98,2.44,2.55,2.2,15769
KEZAR LIFE SCIENCES INC.,7.43,10.54,7.43,7.58,7.42,15708
SUNRISE REALTY TRUST INC.,14.99,0.6,14.94,15.15,14.87,15702
QUHUO LTD.,1.31,12.24,1.37,1.37,1.31,15700
CAPITAL CLEAN ENERGY CARRIERS,18.15,13.46,18.63,18.69,18.15,15670
BURNING ROCK BIOTECH,4.24,123.74,5.36,5.63,4.24,15645
UNITY BANCORP INC.,45.85,11.76,46.5,46.67,45.8,15612
AGAPE ATP CORP.,1.56,11.89,1.68,1.68,1.54,15589
INCANNEX HEALTHCARE INC.,1.85,16.57,1.95,1.98,1.85,15487
BROOKFIELD PROPERTY PARTNERS L.P. 6.50%,16.7,10.3,16.55,16.75,16.55,15472
HEPION PHARMACEUTICALS INC.,0.6701,11.89,0.6831,0.7,0.66,15461
TMT ACQUISITION CORP UNIT,2.89,0.0,6.19,6.79,2.79,15445
EPSILON ENERGY LTD.,5.77,12.7,5.91,5.96,5.72,15433
SOLARBANK CORP.,2.79,12.11,2.9,2.94,2.7,15370
PS INTERNATIONAL GROUP,0.55,11.79,0.5354,0.555,0.5256,15326
SLM CORP.,74.93,10.01,74.94,75.79,74.87,15248
BANK7 CORP.,48.38,1.02,47.77,48.96,47.75,15231
FORWARD INDUSTRIES INC.,4.07,3.56,3.93,4.08,3.86,15186
LEE ENTERPRISES INC.,16.25,11.04,16.26,16.9,15.82,15178
ATA CREATIVITY GLOBAL ADS,1.02,0.0,1.02,1.02,0.98,15075
LISATA THERAPEUTICS INC.,2.84,11.39,2.95,2.95,2.78,15034
ZK INTERNATIONAL GROUP CO. LTD ORD.,0.521,13.52,0.5242,0.56,0.52,14994
LUXURBAN HOTELS,14.97,4.69,14.5,15.1,13.31,14989
PLANET IMAGE INTERNATIONAL,3.33,2.15,3.31,3.72,3.28,14898
PARKE BANCORP INC.,23.72,0.47,23.51,23.85,23.48,14875
EUPRAXIA PHARMACEUTICALS INC.,3.05,110.56,3.4,3.57,3.05,14841
ESSA BANCORP INC.,20.19,11.56,20.54,20.63,20.06,14832
COCRYSTAL PHARMA INC.,2.12,12.3,2.21,2.23,2.11,14804
WESBANCO,25.03,10.28,25.05,25.1,25.03,14786
TELIX PHARMACEUTICALS,15.35,1.32,15.33,15.61,15.11,14781
RAYTECH HOLDING LTD.,1.3,14.41,1.4,1.4,1.3,14661
AVENUE THERAPEUTICS INC.,2.04,11.92,2.11,2.14,2.02,14650
CCSC TECHNOLOGY INTERNATIONAL HLD.,1.76,10.56,1.77,1.87,1.71,14592
FIRST NORTHWEST BANCORP,11.57,11.03,11.85,11.94,11.5,14587
MOVANO INC.,3.6,0.28,3.58,3.92,3.5,14574
RAVE RESTAURANT GROUP INC.,2.92,3.91,2.85,2.92,2.83,14558
BETTER HOME,13.43,2.28,12.73,13.45,12.71,14529
POLYPID,3.51,12.77,3.63,3.63,3.41,14518
KAIROUS ACQUISITION,12.46,10.32,12.46,12.46,12.46,14484
SOLUNA HLD.,11.29,0.89,11.08,11.41,11.02,14380
MOOLEC SCIENCE SA,0.88,11.12,0.862,0.89,0.83,14361
AGNC INVESTMENT,25.25,11.33,25.25,25.26,25.1,14328
MIDDLEFIELD BANC,30.74,11.41,31.05,31.27,30.69,14246
SENECA FOODS CORP.,71.76,10.17,71.46,72.35,71.21,14202
STABILIS SOLUTIONS INC.,5.09,2.21,5.0,5.09,4.85,14163
TWIN VEE POWERCATS CO.,0.416,10.95,0.4178,0.4591,0.4102,14095
NORTHRIM BANCORP INC,86.18,12.16,86.68,87.88,85.29,14082
GLOBAL WATER RESOURCES INC.,13.1,11.28,13.21,13.27,12.94,14039
MAGIC SOFTWARE ENTERPRISES,11.24,11.92,11.41,11.44,11.12,14030
CARLYLE SECURED LENDING,25.39,10.63,25.53,25.53,25.38,14019
HUNTINGTON BANCSHARES INC.,26.09,10.23,26.34,26.34,26.01,14013
DENALI CAPITAL ACQUISITION,11.71,0.0,11.68,11.71,11.65,14004
MGO GLOBAL INC.,2.32,11.28,2.43,2.45,2.32,13892
GOOD TIMES RESTAURANTS INC.,2.65,10.75,2.68,2.7,2.62,13884
FUNDAMENTAL GLOBAL,18.49,6.33,17.99,19.0,16.64,13870
LEAFLY HOLDINGS INC.,1.49,13.87,1.55,1.59,1.49,13827
CLEARMIND MEDICINE INC.,1.33,0.0,1.33,1.35,1.32,13749
MARS ACQUISITION,11.13,0.09,11.13,11.13,11.13,13712
BOGOTA FINANCIAL,8.22,1.23,8.2,8.22,7.99,13697
BINGEX LTD.,7.13,1.28,7.2,7.62,6.89,13580
EIGHTCO HOLDINGS INC.,1.8,12.7,1.83,1.87,1.72,13579
PRECISION OPTICS,5.32,4.72,5.11,5.34,5.03,13567
BEYONDSPRING INC.,1.85,4.52,1.84,1.9,1.74,13494
FS BANCORP INC.,47.4,10.42,47.11,47.76,46.6,13483
JE CLEANTECH HOLDINGS,1.06,15.36,1.14,1.14,1.06,13410
WINMARK CORP.,419.85,10.58,419.0,424.23,417.38,13384
EAGLE BANCORP MONTANA INC.,17.48,0.46,17.48,17.5,17.34,13362
COMSCORE INC.,7.86,0.38,7.71,7.98,7.63,13356
GALECTO INC.,5.55,13.14,5.86,5.86,5.51,13283
FRANKLIN WIRELESS,4.29,10.23,4.21,4.37,4.2,13270
MIND C.T.I.,1.98,1.02,1.96,1.98,1.95,13230
CHAMPIONS ONCOLOGY INC.,4.33,3.59,4.11,4.35,4.08,13140
FIRST GUARANTY BANCSHARES INC.,13.33,10.52,13.41,13.66,13.33,13105
ABITS GROUP INC,0.615,17.24,0.65,0.664,0.6,13058
REDHILL BIOPHARMA,7.91,1.41,7.78,7.91,7.6,13045
EASTERN CO.,28.43,1.1,27.97,28.85,27.97,12996
CEA INDUSTRIES INC.,5.95,10.5,5.99,6.2,5.95,12978
GENERATION,1.87,1.63,1.79,1.88,1.79,12963
PHARMACYTE  BIOTECH INC.,1.73,0.58,1.69,1.8,1.66,12880
ADAGENE INC. ADS,2.22,12.2,2.34,2.34,2.18,12853
GRAVITY CO. LTD. ADS,65.55,11.12,66.09,67.17,65.55,12852
GLADSTONE LAND CORP.,22.47,0.72,22.11,22.65,22.11,12835
SONIM TECHNOLOGIES INC.,3.27,15.22,3.44,3.51,3.22,12822
STRAN & COMPANY INC.,1.13,0.0,1.13,1.13,1.12,12791
ACNB CORP.,46.81,13.23,47.94,48.16,46.81,12707
IPERIONX LTD.,28.53,10.87,28.85,28.99,28.3,12662
PENNS WOODS BANCORP INC.,31.51,1.03,31.4,31.58,31.2,12647
FOUR LEAF ACQUISITION,11.04,10.09,11.06,11.06,11.04,12556
RICHMOND MUTUAL BANCORP.,14.35,0.7,14.25,14.48,14.01,12520
INNOVATIVE SOLUTIONS AND SUPPORT,7.72,0.13,7.75,7.75,7.66,12513
TRINITY CAPITAL,25.35,0.0,25.3,25.35,25.29,12460
FIRST FINANCIAL NORTHWEST INC.,22.67,0.18,22.5,22.77,22.5,12427
OAK VALLEY BANCORP (CA),30.97,11.37,31.5,31.6,30.94,12398
AI TRANSPORTATION ACQUISITION CORP RIGH,0.137,0.0,0.14,0.14,0.12,12388
VS MEDIA HOLDINGS,1.12,11.75,1.19,1.19,1.09,12339
ENSTAR GROUP LTD.,19.93,12.02,20.03,20.35,19.93,12211
SENTI BIOSCIENCES INC.,2.11,13.21,2.09,2.19,2.09,12194
LOBO EV TECHNOLOGIES,2.36,14.56,2.23,2.36,2.16,12175
MAISON SOLUTIONS INC.,0.9551,10.5,0.96,0.98,0.9301,12113
HOOKER FURNISHINGS,18.17,14.92,18.95,18.95,18.17,12105
PATRIOT NATIONAL BANCORP INC.,1.82,12.15,1.82,1.97,1.78,12102
PERCEPTION CAPITAL,10.87,0.0,10.74,10.87,10.74,12101
HANCOCK WHITNEY,24.97,0.32,25.12,25.12,24.86,12043
XORTX THERAPEUTICS INC.,1.18,11.67,1.23,1.28,1.15,12038
SCIENTURE HOLDINGS INC.,7.23,15.37,7.57,7.62,7.2,11923
TIGO ENERGY INC.,0.99,12.94,1.07,1.07,0.99,11919
CLPS INCORP.,1.1,0.0,1.06,1.13,1.06,11888
REPUBLIC BANCORP INC.,77.07,10.98,77.73,77.73,76.11,11832
OXBRIDGE RE HOLDINGS,3.05,10.97,3.16,3.19,3.0,11711
LIONHEART HOLDINGS,10.04,10.1,10.05,10.05,10.04,11705
PSYCHEMEDICS CORP.,2.34,0.0,2.34,2.34,2.33,11671
MARINE PETROLEUM TRUST UNITS OF BENEFIC,3.97,11.98,4.09,4.09,3.97,11646
ALLIED GAMING & ENTERTAINMENT,1.02,10.97,1.04,1.08,1.0,11618
INTENSITY THERAPEUTICS INC.,2.69,15.94,2.84,2.85,2.64,11573
RECTITUDE HOLDINGS LTD,3.75,1.35,3.7,3.75,3.65,11521
ART S-WAY MANUFACTURING CO.,1.65,11.2,1.67,1.7,1.62,11378
FORTRESS BIOTECH,5.22,0.77,5.15,5.25,5.15,11353
OMEGA FLEX INC.,49.5,11.45,49.63,50.0,48.7,11349
BRIGHTHOUSE FINANCIAL,24.52,10.93,24.66,24.75,24.48,11275
SAGA COMMUNICATIONS INC.,13.0,10.69,13.0,13.16,12.89,11274
CRITICAL METALS,6.46,10.15,6.55,6.95,6.25,11270
TELESAT CORP.,12.35,12.83,12.71,12.71,12.16,11257
IMAC HOLDINGS INC.,1.04,12.8,1.07,1.08,1.02,11246
CENTRAL PLAINS BANCSHARES INC.,14.45,0.98,14.45,14.52,14.39,11216
SPARK I ACQUISITION,10.55,0.0,10.55,10.58,10.54,11178
DT CLOUD ACQUISITION,10.39,0.1,10.4,10.4,10.39,11153
DOGWOOD THERAPEUTICS INC.,2.64,11.49,2.68,2.82,2.55,11119
BIORESTORATIVE THERAPIES INC.,1.5,10.66,1.49,1.54,1.46,11049
ONYX ACQUISITION CO. I,11.39,0.0,11.4,11.42,11.39,11034
UNITED-GUARDIAN INC.,9.6,11.64,9.77,9.77,9.49,11031
CREATIVE MEDICAL TECHNOLOGY HLD.,2.69,4.26,2.65,2.7,2.58,11023
THERAPEUTICSMD INC.,1.4,0.72,1.4,1.41,1.38,10954
MELAR ACQUISITION,10.05,0.0,10.05,10.05,10.05,10861
HUNTINGTON BANCSHARES INC.,23.72,10.42,23.8,23.8,23.66,10850
SYNAPTOGENIX INC.,2.72,0.37,2.71,2.8,2.6,10845
GIFTIFY INC.,1.31,12.96,1.33,1.4,1.28,10838
ROTH CH ACQUISITION V CO.,11.29,10.79,10.99,11.3,10.55,10673
CATALYST BANCORP INC.,11.8,0.77,11.7,11.91,11.7,10652
VIRGINIA NATIONAL BANKSHARES,41.64,12.05,40.4,42.06,40.4,10646
FONAR CORP.,16.45,0.18,16.42,16.45,16.1,10574
BOWEN ACQUISITION CORP,10.89,0.09,10.88,10.89,10.88,10521
TIMBERLAND BANCORP INC.,32.42,12.7,33.55,33.55,32.42,10498
SYNLOGIC INC.,1.4,0.72,1.43,1.43,1.4,10444
FUTURE VISION II ACQUISITION,10.03,0.2,10.0,10.06,10.0,10420
SWK HOLDINGS CORP.,15.79,11.0,16.34,16.34,15.76,10373
ATLANTIC AMERICAN,1.53,13.16,1.53,1.6,1.49,10335
BROOGE ENERGY LTD.,1.41,6.82,1.33,1.42,1.33,10322
BEL FUSE INC.,95.87,10.17,96.72,96.72,95.19,10231
FRESH2 GROUP LTD.,1.07,16.14,1.14,1.26,1.04,10219
ARK RESTAURANTS,10.06,0.5,9.9,10.13,9.83,10201
MEDICUS PHARMA LTD.,2.1,1.45,2.01,2.18,2.0,10196
ELICIO THERAPEUTICS INC.,4.88,12.4,5.1,5.1,4.88,10178
LUOKUNG TECHNOLOGY CORP,1.64,1.23,1.6,1.72,1.58,10170
GLADSTONE LAND CORP.,21.99,11.26,22.1,22.2,21.99,10167
CLEAN ENERGY TECHNOLOGIES INC.,0.7385,11.4,0.75,0.75,0.69,10146
INTERLINK ELECTRONICS INC.,4.15,10.95,4.19,4.43,3.91,10143
JOHN MARSHALL BANCORP INC.,23.19,12.81,23.96,23.99,23.02,10080
CROWN CRAFTS INC.,4.6,0.66,4.59,4.6,4.54,10063
CSLM ACQUISITION,11.35,0.0,11.34,11.36,11.34,10050
SOBR SAFE INC.,5.13,1.18,5.1,5.2,5.07,10031
GLOBAL STAR ACQUISITION INC.,11.5,0.0,11.39,11.5,11.39,10002
SEMILEDS CORP.,1.26,11.56,1.31,1.32,1.26,9975
FLUENT INC.,2.8,0.0,2.81,2.82,2.78,9854
BRIDGFORD FOODS,9.26,0.54,9.06,9.35,9.06,9854
DP CAP ACQUISITION CORP I,12.6,0.0,12.73,13.8,12.49,9777
YUNHONG GREEN CTI,0.6715,10.53,0.6799,0.6799,0.671,9776
MEI PHARMA INC.,2.84,2.9,2.77,2.87,2.77,9760
REGENCY CENTERS,24.08,11.11,24.26,24.51,23.92,9731
FAT BRANDS,9.59,0.52,9.65,9.66,9.47,9726
INNATE PHARMA S.A. ADS,1.5,3.45,1.48,1.5,1.48,9682
TRANSACT TECHNOLOGIES INC.,4.24,10.24,4.3,4.3,4.16,9675
CARBON REVOLUTION PUBLIC,2.72,12.16,2.87,2.96,2.72,9627
MINGTENG INTERNATIONAL,5.68,14.22,5.8,5.85,5.6,9612
YUNJI INC. ADS,1.7,12.86,1.83,1.96,1.7,9547
VILLAGE SUPER MARKET INC.,32.28,10.4,32.32,32.44,32.09,9467
NEUROMETRIX INC.,4.25,0.71,4.19,4.39,4.19,9445
FORIAN INC.,2.06,1.98,2.05,2.09,2.04,9394
OCEANPAL INC.,1.42,10.7,1.42,1.46,1.42,9388
NEWTEKONE,25.3,0.32,25.22,25.38,25.22,9352
NORTHERN TECHNOLOGIES INTERNATIONAL,13.33,11.77,13.62,13.62,13.2,9331
RUNWAY GROWTH FINANCE,25.13,0.08,25.14,25.14,25.1,9320
DOMINARI HOLDINGS INC.,1.59,0.0,1.55,1.6,1.53,9285
TAYLOR DEVICES INC.,45.86,11.63,46.25,46.74,45.68,9279
ARCADIA BIOSCIENCES INC.,2.76,0.0,2.76,2.85,2.65,9227
U POWER LTD.,6.48,5.02,6.15,6.55,6.15,9156
LAVORO LTD.,4.71,15.99,4.74,4.97,4.5,9106
ROYALTY MANAGEMENT HOLDING,1.02,10.97,1.03,1.03,1.0,9093
SENESTECH INC.,2.35,11.26,2.4,2.4,2.33,9076
SINGULARITY FUTURE TECHNOLOGY,1.67,0.6,1.68,1.74,1.66,9071
ANEBULO PHARMACEUTICALS INC.,1.4,0.0,1.41,1.6,1.39,9069
RED RIVER BANCSHARES INC.,60.34,10.43,60.8,61.36,60.01,9050
FTAI AVIATION,25.47,0.04,25.46,25.51,25.46,9013
ECB BANCORP INC.,14.9,0.88,14.86,14.98,14.8,8999
WEYCO GROUP INC.,36.18,13.03,37.17,37.17,36.18,8997
ENTERA BIO,1.61,13.59,1.65,1.67,1.61,8995
HINGHAM INSTITUTION FOR SAVINGS,284.36,10.28,284.95,284.95,279.0,8943
FAT BRANDS INC.,5.36,0.75,5.38,5.42,5.2,8936
CHIJET MOTOR CO.,2.02,15.61,2.14,2.15,1.98,8926
RETO ECO-SOLUTIONS,0.99,10.97,0.97,0.9996,0.9551,8915
CHINA NATURAL RESOURCES INC.,0.632,3.52,0.611,0.6456,0.6006,8849
BEASLEY BROADCAST GROUP INC.,8.87,14.11,9.26,9.31,8.63,8842
RUSH ENTERPRISES INC.,56.09,12.27,55.92,56.54,55.75,8825
BROOKFIELD PROPERTY PARTNERS L.P. 6.25%,16.76,12.84,17.3,17.3,16.76,8803
IB ACQUISITION,0.065,29.74,0.065,0.0712,0.065,8787
STREAMLINE HEALTH SOLUTIONS,3.04,12.56,3.2,3.2,3.03,8689
WAH FU EDUCATION GROUP,1.61,10.62,1.62,1.66,1.61,8682
ARTELO BIOSCIENCES INC.,1.1,10.9,1.11,1.12,1.1,8653
RGC RESOURCES INC.,20.67,13.41,21.33,21.33,20.61,8590
BGM GROUP,7.1,0.85,7.0,7.1,6.96,8583
NATIONAL BANKSHARES INC.,31.57,11.28,31.98,32.07,31.57,8495
CARAVELLE INTERNATIONAL GROUP,1.3,10.76,1.34,1.35,1.27,8493
PHIO PHARMACEUTICALS,2.51,2.45,2.54,2.54,2.47,8488
ZEO ENERGY CORP.,1.31,12.24,1.3,1.33,1.3,8438
LOOP INDUSTRIES INC.,1.41,12.08,1.41,1.41,1.36,8421
NEW YORK MORTGAGE TRUST,22.68,0.35,22.6,22.7,22.44,8393
RAMACO RESOURCES,25.44,10.24,25.44,25.46,25.4,8329
STARDUST POWER INC.,6.91,0.73,6.7,6.99,6.64,8315
IRIDEX CORP.,1.77,0.0,1.79,1.84,1.73,8285
SOPHIA GENETICS SA,3.25,3.17,3.19,3.3,3.16,8265
YHN ACQUISITION I,10.01,0.0,10.01,10.01,10.0,8264
HURCO COMPANIES INC.,23.4,0.91,22.92,23.4,22.78,8229
URBAN ONE INC.  CLASS D,0.96,11.03,0.98,1.0,0.95,8221
